Node	Occurrences	Present in network(s)	Cited in paper(s)
H3N6F1S1	3	[2373;Q9QUP5, 280;P01871, 613;P07911]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1093/glycob/3.6.597, 10.1046/j.1432-1327.1999.00766.x, 10.1111/j.1432-1033.1995.0805m.x, 10.1021/acs.analchem.8b01137, 10.1093/glycob/1.2.173, 10.1016/j.talanta.2020.121495, 10.1126/science.abb9983, 10.1021/pr500575r, 10.1074/mcp.RA120.002295, 10.1074/jbc.270.41.24116, 10.18632/oncotarget.26005, 10.1016/j.jprot.2021.104148, 10.1021/acs.analchem.1c00893, 10.1046/j.1432-1327.1999.00105.x]
H4N3F1S1	7	[2460;Q61292, 2769;P01831, 1785;Q7Z7G0, 1137;P12110, 676;P02750, 797;Q9HDC9, 1156;Q8IWV2]	[10.1074/jbc.M101013200, 10.1074/mcp.M112.024018, 10.1016/s0021-9258(20)64312-5, 10.1046/j.1432-1327.1999.00766.x, 10.1111/j.1432-1033.1996.0076n.x, 10.1038/s41598-018-20331-2, 10.7150/thno.65398, 10.1021/acs.analchem.8b01051, 10.1021/acs.jproteome.0c00702, 10.1016/j.jprot.2021.104148, 10.1023/a:1006915200989, 10.1021/acs.analchem.1c00893, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1021/pr400196s, 10.1093/glycob/cwaa101, 10.1101/853036, 10.1021/pr500238v, 10.1006/abio.1994.1138, 10.1021/acs.analchem.8b01137, 10.1073/pnas.1320544111, 10.1016/j.jprot.2014.02.005, 10.1126/science.abb9983, 10.1016/j.talanta.2020.121495, 10.1074/mcp.RA119.001607, 10.1021/pr500575r, 10.1016/j.euprot.2014.11.002, 10.18632/oncotarget.26005, 10.1021/pr900956x, 10.1111/j.1432-1033.1992.tb16863.x, 10.1038/s41598-021-84668-x]
H8N6F1S3	1	[685;P41222]	[10.1074/mcp.M112.024018, 10.1016/s0021-9258(19)70378-0]
H9N5F1	2	[360;P35495, 361;P35496]	[10.1016/0008-6215(90)84171-p, 10.18632/oncotarget.26005, 10.1016/0003-9861(82)90550-1]
H5N6F1	11	[360;P35495, 1018;Q12797, 355;P11279, 1839;P43307, 986;Q13510, 579;P35253, 361;P35496, 1647;Q9P2B2, 1592;P50897, 980;Q16880, 358;P04273]	[10.1084/jem.20142182, 10.1093/glycob/9.5.443, 10.1074/mcp.M112.024018, 10.1093/glycob/cwaa101, 10.1021/ac4006556, 10.1093/glycob/10.3.295, 10.1021/acs.analchem.8b01137, 10.1093/oxfordjournals.jbchem.a124273, 10.1021/bi00222a012, 10.1126/science.abb9983, 10.1042/ba19990105, 10.1074/mcp.RA120.002295, 10.1093/glycob/10.5.511, 10.1016/S0021-9258(18)54122-3, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1021/acs.jproteome.0c00702, 10.1021/acs.analchem.1c00893, 10.1038/s41598-021-84668-x, 10.1021/bi00067a029, 10.1016/0003-9861(90)90511-v]
H5N6F2	2	[2727;P14094, 79;P13987]	[10.1042/bj2780505, 10.1126/science.abb9983, 10.1093/glycob/10.9.901, 10.1371/journal.ppat.1009232, 10.18632/oncotarget.26005, 10.1021/pr500238v, 10.1021/acs.analchem.1c00893, 10.1021/acs.analchem.8b01137]
H6N3	70	[2443;Q9R1V6-10, 803;P54802, 2519;P20917, 2184;O89001, 1027;P35613, 1861;Q15661, 2545;P55066, 2736;P07214, 2456;Q60675, 1221;O75477, 2706;Q62086, 1146;P0C0L5, 1271;P04062, 1598;O95302, 688;P01859, 2477;Q8C129, 2372;Q640R3, 1194;O75356, 1062;O43852, 1839;P43307, 1897;Q7Z7D3, 1649;P35354, 647;P01877, 795;Q6YHK3, 1865;P09758, 1171;Q02487, 1842;Q9HD45, 1444;P11047, 1862;P20231, 1136;P05997, 1026;P50895, 2185;Q00493, 2973;P01859, 1528;O60487, 2281;P21995, 711;Q14624, 2557;P97300, 2528;Q9JKF6, 651;P0C0L4, 1222;O94905, 2273;O55026, 2231;Q9CPW0, 1193;Q9Y5L3, 1135;P08123, 653;P98160, 2399;Q61739, 1792;P24821, 2594;B2RXS4, 2987;P08637, 2761;Q9QY33, 2611;Q91ZX7, 1630;Q9H3G5, 1477;P10619, 2497;O35114, 1589;Q86WC4, 2495;P17047, 1383;Q9Y4L1, 1613;O15031, 2686;Q9D7G0, 2190;P18242, 2986;P08637, 1712;Q15293, 1307;Q68CP4, 2667;Q64487, 1884;Q6UXG2, 1633;Q02809, 2332;Q99JP7, 1847;Q14956, 2196;Q61490, 1181;Q13443]	[10.1021/bi00145a013, 10.1093/glycob/4.5.633, 10.1111/j.1432-1033.1992.tb16776.x, 10.1074/mcp.M112.024018, 10.1016/S1044-0305(00)00122-7, 10.1093/glycob/11.10.791, 10.1093/glycob/cwaa052, 10.1016/s0021-9258(19)38919-7, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1093/glycob/7.1.67, 10.1111/j.1432-1033.1993.tb18200.x, 10.1074/mcp.RA120.002295, 10.7150/thno.65398, 10.1111/j.1432-1033.1990.tb15281.x, 10.1021/acs.jproteome.0c00702, 10.1016/j.jprot.2021.104148, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1006/bbrc.2001.6006, 10.1093/glycob/9.5.443, 10.3390/pharmaceutics13111747, 10.1093/glycob/10.3.251, 10.1093/glycob/3.4.365, 10.1073/pnas.96.8.4692, 10.1101/853036, 10.1021/pr500238v, 10.1006/abio.1999.4026, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1021/bi00210a019, 10.1007/s00216-014-8226-5, 10.1126/science.abb9983, 10.1016/j.talanta.2020.121495, 10.1007/s13361-013-0823-6, 10.1021/pr500575r, 10.1074/mcp.RA119.001607, 10.1093/glycob/2.4.299, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1046/j.1432-1033.2002.03244.x, 10.1038/s41598-021-84668-x, 10.1021/bi00067a029, 10.1016/0014-5793(94)00547-8]
H4N6F2S1	1	[2727;P14094]	[10.1021/pr500575r]
H6N2	56	[2737;P70663, 1241;Q14314, 161;P02751, 2573;Q9Z1M0, 2734;Q6PHU5, 2478;P42703, 2736;P07214, 2251;Q8JZM4, 2776;Q62351, 2708;P70665, 1394;Q969P0, 2341;P23818, 2969;P01880, 2385;Q6NXK7, 2384;Q8R366, 2431;Q9WTS6-2, 2705;P19324, 2829;Q6KAS7, 2340;O35409, 690;Q13439, 2550;Q80Z24, 1726;Q6FHJ7, 2964;P0DOX5, 2732;Q99MR3, 1467;P98164, 2525;Q571E4, 2682;Q8K0S5, 1470;P51884, 2201;Q8VEK0, 2489;P24638, 2362;Q8K209, 1527;O95297, 2968;P01880, 764;Q9UBG0, 1160;Q9H5V8, 2766;Q3UTY6, 2627;A2A699, 2830;Q6P5F6, 1593;P55259, 2464;Q9JIA1, 677;P05090, 625;P04004, 1711;P21860, 2142;Q91V24, 2448;Q9D8B7, 671;P01857, 2409;Q60625, 2;O18330, 2413;Q9R1V6-16, 1585;Q6UX06, 790;P07288, 2535;P13595, 1489;Q13724, 2787;Q80VP8, 2163;P70408, 1213;P54753]	[10.1007/bf00731872, 10.1016/s0021-9258(19)50338-6, 10.1007/bf00731134, 10.1093/glycob/11.10.791, 10.1271/bbb1961.54.3259, 10.1006/abbi.1994.1055, 10.1093/glycob/10.8.837, 10.1111/j.1432-1033.1991.tb15995.x, 10.1007/bf00731292, 10.1007/bf00731153, 10.1016/S0021-9258(19)50314-3, 10.1006/abio.2000.4737, 10.1111/j.1432-1033.1990.tb19409.x, 10.1074/jbc.M100573200, 10.1046/j.1432-1327.2001.01960.x, 10.1021/acs.analchem.8b01051, 10.1023/a:1006999718552, 10.1515/bchm3.1995.376.9.531, 10.1074/jbc.275.11.7731, 10.1038/s41467-019-09222-w, 10.1093/glycob/cwaa042, 10.1021/acs.jproteome.5b00756, 10.3390/pharmaceutics13111747, 10.1093/glycob/cwaa101, 10.1093/oxfordjournals.jbchem.a022707, 10.1073/pnas.96.8.4692, 10.1021/pr500238v, 10.1074/jbc.M606711200, 10.1016/S0008-6215(00)80944-1, 10.1093/glycob/10.3.295, 10.1093/glycob/5.2.227, 10.1016/j.jprot.2014.02.005, 10.1016/j.euprot.2014.11.002, 10.1074/mcp.RA119.001607, 10.1104/pp.119.2.725, 10.1093/glycob/11.4.261, 10.1038/s41592-021-01309-x, 10.1016/j.jprot.2014.03.040, 10.18632/oncotarget.26005, 10.1016/0008-6215(94)84234-5, 10.1021/bi00067a029, 10.1093/glycob/cwg023, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1006/abbi.2000.1806, 10.1111/j.1470-8744.1996.tb00399.x, 10.1006/abio.1995.1200, 10.1021/bi00145a013, 10.1021/ac4006556, 10.1021/bi00239a013, 10.1046/j.1432-1327.1999.00859.x, 10.1111/j.1432-1033.1996.0076n.x, 10.1042/BJ20030485, 10.1093/glycob/10.12.1347, 10.1021/bi00195a022, 10.1016/s0166-6851(00)00241-3, 10.7150/thno.65398, 10.1021/acs.jproteome.0c00702, 10.1016/j.isci.2021.102323, 10.1021/acs.analchem.1c00893, 10.1016/0008-6215(94)84015-6, 10.1074/mcp.M114.039537, 10.1093/glycob/10.6.551, 10.1007/bf01321117, 10.1093/glycob/9.8.823, 10.1093/glycob/10.9.901, 10.1007/bf01189081, 10.1016/s0021-9258(18)90588-0, 10.1074/mcp.O114.046748, 10.1074/jbc.272.14.9062, 10.1016/s0304-4165(00)00128-8, 10.1016/0003-2697(84)90342-7, 10.1093/glycob/8.7.663, 10.1016/s0021-9258(18)52295-x, 10.1002/j.1460-2075.1985.tb03991.x, 10.1021/pr900956x, 10.4049/jimmunol.173.11.6831, 10.1093/glycob/9.1.21, 10.1016/j.jchromb.2008.05.006, 10.1006/abbi.1995.1255, 10.1093/glycob/cwaa052, 10.1016/s0021-9258(19)38919-7, 10.1093/glycob/10.9.941, 10.1074/jbc.M002693200, 10.1074/mcp.RA120.002295, 10.1021/ac015618l, 10.1271/bbb.80598, 10.1093/glycob/11.3.195, 10.1074/jbc.M009361200, 10.1021/pr500414q, 10.1006/abio.1993.1085, 10.1093/glycob/9.5.443, 10.1016/s0166-6851(96)02780-6, 10.1046/j.1432-1327.2001.01985.x, 10.1021/bi00210a019, 10.1073/pnas.1320544111, 10.1016/s0021-9258(19)69207-0, 10.1074/jbc.M504528200, 10.1007/s13361-013-0823-6, 10.1021/pr400714w, 10.1021/ac900231w, 10.1074/jbc.M511023200, 10.1016/j.chom.2020.08.004, 10.1046/j.1432-1033.2002.03244.x, 10.1016/0021-9673(90)85022-n, 10.1093/oxfordjournals.jbchem.a123767, 10.1016/s0021-9258(19)38336-x, 10.1111/j.1432-1033.1992.tb17090.x, 10.1074/mcp.M112.024018, 10.1016/S1044-0305(00)00122-7, 10.1093/glycob/7.5.635, 10.1007/s10719-006-6693-4, 10.1016/S0021-9258(17)44262-1, 10.1016/j.jaci.2014.02.025, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1271/bbb.56.215, 10.1111/j.1432-1033.1993.tb17901.x, 10.1093/glycob/6.6.611, 10.1007/bf00702201, 10.1093/oxfordjournals.jbchem.a003169, 10.1111/j.1432-1033.1990.tb15350.x, 10.1111/j.1432-1033.1990.tb19122.x, 10.1093/glycob/5.6.589, 10.1111/j.1432-1033.1990.tb15281.x, 10.1111/j.1432-1033.1990.tb19256.x, 10.1021/acs.jproteome.8b00796, 10.1111/j.1432-1033.1989.tb15206.x, 10.1021/acs.jproteome.9b00753, 10.1111/j.1432-1033.1985.tb09161.x, 10.1084/jem.20142182, 10.1006/abbi.1993.1595, 10.1093/glycob/10.3.251, 10.1016/0042-6822(90)90095-9, 10.1093/glycob/3.5.465, 10.1111/j.1432-1033.1993.tb18020.x, 10.1101/853036, 10.1006/abbi.2001.2421, 10.1271/bbb.60.1123, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1016/0161-5890(91)90027-h, 10.1007/s00425-003-1099-z, 10.1093/oxfordjournals.jbchem.a022033, 10.1126/science.abb9983, 10.1016/s0166-6851(00)00310-8, 10.1016/j.bbrc.2003.10.094, 10.1021/bi002313c, 10.1006/abbi.1994.1021, 10.1271/bbb.64.2109, 10.1271/bbb.65.2482, 10.1021/ac402338u, 10.1093/glycob/cwh105]
H5N3F2S1	3	[1281;Q8NBJ4, 680;P08581, 1005;P06280]	[10.1074/mcp.RA119.001607, 10.1038/s41598-018-20331-2]
H6N5	3	[1792;P24821, 371;P10252, 2932;P47710]	[10.1016/s0021-9258(19)50338-6, 10.1111/j.1432-1033.1992.tb16776.x, 10.1093/glycob/10.3.231, 10.1021/bi00464a020, 10.1023/B:GLYC.0000038293.37376.9f, 10.1016/s0021-9258(19)38919-7, 10.1111/j.1432-1033.1993.tb18200.x, 10.1111/j.1432-1033.1990.tb19409.x, 10.1074/mcp.RA120.002295, 10.1046/j.1432-1327.2001.01960.x, 10.1016/s0304-4165(00)00083-0, 10.1021/acs.analchem.8b01051, 10.1093/glycob/10.4.421, 10.1016/s0021-9258(19)68868-x, 10.1073/pnas.86.20.7819, 10.1021/pr5005482, 10.1016/S0022-2275(20)32568-2, 10.1016/0003-9861(90)90511-v, 10.1038/s41467-019-09222-w, 10.1021/bi00617a021, 10.1021/pr500238v, 10.1006/abio.1994.1138, 10.1023/a:1006989910120, 10.1021/bi00210a019, 10.1016/s0021-9258(18)68975-6, 10.1007/s00216-014-8226-5, 10.1007/bf01053197, 10.1021/ac900231w, 10.1038/nmeth.1392, 10.18632/oncotarget.26005, 10.1038/bjc.1993.91, 10.1021/bi00067a029, 10.1021/pr500394z, 10.1021/bi00145a013, 10.1016/s0021-9258(17)43832-4, 10.1007/bf00731362, 10.1021/bi00239a013, 10.1016/S1044-0305(00)00122-7, 10.1111/j.1432-1033.1996.0076n.x, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1093/glycob/1.1.45, 10.1016/s0021-9258(18)52290-0, 10.1016/0014-5793(80)80850-7, 10.1042/ba19990105, 10.1021/bi00217a006, 10.1021/acs.jproteome.0c00702, 10.1021/bi00415a038, 10.1111/j.1432-1033.1990.tb19256.x, 10.1074/mcp.M111.013649, 10.1093/glycob/9.8.823, 10.1021/acs.jproteome.9b00753, 10.1006/abbi.1993.1595, 10.1093/glycob/10.9.901, 10.1093/glycob/10.3.251, 10.1007/BF02778058, 10.1111/j.1432-1033.1993.tb18020.x, 10.1016/s0021-9258(18)90588-0, 10.1093/oxfordjournals.jbchem.a133680, 10.1101/853036, 10.1006/abio.1993.1283, 10.1016/0161-5890(91)90027-h, 10.1021/acs.analchem.8b01137, 10.1126/science.abb9983, 10.1681/ASN.2006040388, 10.1006/abio.1994.1050, 10.1016/0003-2697(90)90676-z, 10.1002/elps.1150191113, 10.1021/ac9801059]
H6N4	60	[277;P01591, 287;P01579, 20;P01009, 22;P12763, 678;P02749, 495;P04180, 780;P04217, 518;P00734, 15;F6Y713, 2224;P12960, 16;Q3SZR3, 14;P19652, 301;P03956, 1236;P35556, 647;P01877, 102;P00742, 1237;Q75N90, 2839;P0DTC2, 558;P02787, 74;P19835, 2182;P61215, 550;P01833, 194;P01215, 21;P02760, 2968;P01880, 607;P02786, 1406;P17301, 1256;Q08380, 590;Q8BYI9, 18;P02764, 346;P14151, 722;P08603, 329;Q14766, 677;P05090, 759;P10909, 625;P04004, 587;P01730, 502;P00747, 23;P02765, 718;P02763, 11;P09923, 2971;P01854, 685;P41222, 676;P02750, 513;P00797, 1600;Q92626, 91;P0DN86, 506;P26201, 757;P02790, 283;P05556, 810;P01042, 1235;P35555, 160;P02679, 731;P43652, 790;P07288, 17;W5P7S6, 2970;P01854, 805;P04196, 45;P17050, 283;P08648]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1074/mcp.M112.024018, 10.1006/abbi.1993.1595, 10.1021/pr500238v, 10.1016/0003-9861(82)90550-1, 10.1016/0161-5890(91)90027-h, 10.1021/acs.analchem.8b01137, 10.1016/s0021-9258(18)52290-0, 10.1126/science.abb9983, 10.1074/mcp.RA120.002295, 10.18632/oncotarget.26005, 10.1038/s41598-021-84668-x]
H6N7	2	[1421;Q06033, 1120;P12259]	[10.1093/oxfordjournals.jbchem.a124273, 10.1038/s41467-019-09222-w, 10.1074/mcp.RA120.002295, 10.1016/S1044-0305(00)00122-7, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893, 10.1021/bi00067a029, 10.1021/acs.analchem.8b01137]
H6N6	35	[21;P02760, 607;P02786, 1638;Q07954, 287;P01579, 1414;P05556, 627;P04275, 356;P13473, 12;P08289, 1281;Q8NBJ4, 556;Q921I1, 329;Q14766, 15;F6Y713, 502;P00747, 16;Q3SZR3, 718;P02763, 1479;Q14108, 320;P02788, 11;P09923, 14;P19652, 685;P41222, 140;P01588, 1645;P07602, 280;P01871, 1839;P43307, 513;P00797, 506;P26201, 1248;P15328, 102;P00742, 1179;Q13444, 810;P01042, 286;P32942, 613;P07911, 17;W5P7S6, 2549;Q810U4, 1059;Q15417]	[10.1093/glycob/cwaa042, 10.1021/acs.jproteome.9b00753, 10.1111/j.1432-1033.1992.tb17090.x, 10.1093/glycob/10.3.251, 10.1016/S1044-0305(00)00122-7, 10.1023/B:GLYC.0000038293.37376.9f, 10.1016/s0021-9258(19)38919-7, 10.1111/jth.14861, 10.1021/bi00210a019, 10.1021/acs.analchem.8b01137, 10.1126/science.abb9983, 10.1074/mcp.RA120.002295, 10.1038/s41598-021-84668-x, 10.1016/0003-9861(90)90511-v]
H6N8	2	[613;P07911, 2494;P11438]	[10.1021/acs.jproteome.9b00753, 10.1016/S1044-0305(00)00122-7, 10.18632/oncotarget.26005, 10.1093/glycob/cwaa052]
H6N4F2	20	[1956;P22897, 21;P02760, 1839;P43307, 1425;Q9NPH3, 1600;Q92626, 2947;O00300, 2935;Q6WN34, 1248;P15328, 774;P08571, 1171;Q02487, 1710;P04626, 995;Q8IUX7, 1177;P27487, 1180;P78536, 518;P00734, 1261;P19440, 625;P04004, 998;O00468, 1611;P16671, 1854;Q8NBN3]	[10.1038/s41467-019-09222-w, 10.1042/bj2780505, 10.1021/acs.jproteome.9b00753, 10.1126/science.abb9983, 10.1016/s0021-9258(19)50338-6, 10.1074/mcp.M112.024018, 10.1046/j.1432-1327.1999.00766.x, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1021/pr500238v, 10.1021/acs.analchem.8b01137]
H6N4F3	17	[1419;P18564, 19;P01011, 607;P02786, 1406;P17301, 1442;P07942, 1512;P55083, 650;P78324, 1402;P06213, 1863;Q9UJT0, 1441;O15230, 1747;Q5TFQ8, 1766;Q92673, 1521;Q6W4X9, 1908;Q13433, 1088;P08962, 1090;P48960, 1408;P23229]	[10.1021/acs.jproteome.9b00753, 10.1126/science.abb9983, 10.1371/journal.ppat.1009232, 10.18632/oncotarget.26005, 10.1093/glycob/cwaa052, 10.1093/glycob/11.3.195, 10.1007/BF02788537, 10.1021/acs.analchem.8b01137]
H5N4S1	31	[775;O00754, 559;P02768, 1502;Q16853, 1911;Q86TH1, 1605;Q96BZ4, 1709;Q15262, 1964;Q8WWZ8, 110;P01024, 1972;P78509, 301;P03956, 670;Q6EMK4, 140;P01588, 1645;P07602, 1236;P35556, 1600;Q92626, 91;P0DN86, 1079;P07339, 1978;Q08ET2, 1237;Q75N90, 2617;O09114, 1930;Q12860, 1235;P35555, 699;Q96IY4, 1503;Q13421, 1483;P34810, 723;P10253, 1187;P04844, 1842;Q9HD45, 1005;P06280, 1066;O75976, 1456;Q08722]	[10.1006/bbrc.1999.0176, 10.1093/glycob/11.10.791, 10.1038/s41598-018-20331-2, 10.1080/07328309508005379, 10.1021/acs.analchem.8b01051, 10.1074/jbc.275.11.7731, 10.1038/s41467-019-09222-w, 10.1093/glycob/cwaa042, 10.1093/glycob/8.11.1053, 10.1016/s0021-9258(18)50696-7, 10.1021/acs.jproteome.5b00756, 10.1093/glycob/cwaa101, 10.3390/pharmaceutics13111747, 10.1093/oxfordjournals.jbchem.a124102, 10.1021/pr500238v, 10.1016/j.jprot.2014.02.005, 10.1006/bbrc.2001.5382, 10.1016/j.euprot.2014.11.002, 10.1074/mcp.RA119.001607, 10.1002/elps.11501401205, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1016/j.carres.2014.01.018, 10.1006/abio.1995.1200, 10.1016/s0021-9258(18)82165-2, 10.1021/ac4006556, 10.1021/bi00239a013, 10.1074/mcp.M114.047381, 10.1093/glycob/11.7.523, 10.1111/j.1432-1033.1996.0076n.x, 10.1042/bj3330749, 10.1093/glycob/7.1.67, 10.1111/j.1432-1033.1995.tb20647.x, 10.1016/s0021-9258(18)34130-9, 10.7150/thno.65398, 10.1021/acs.jproteome.0c00702, 10.1016/j.jprot.2021.104148, 10.1016/j.isci.2021.102323, 10.1074/mcp.M114.039537, 10.1073/pnas.91.12.5602, 10.1074/jbc.M102150200, 10.1093/oxfordjournals.jbchem.a133133, 10.1111/j.1432-1033.1991.tb15702.x, 10.1021/pr400196s, 10.1042/bj2720533, 10.1111/j.1432-1033.1992.tb17362.x, 10.1093/glycob/10.9.901, 10.1074/mcp.O114.046748, 10.1002/prca.201800061, 10.1021/pr4012393, 10.1016/j.talanta.2020.121495, 10.1021/pr500575r, 10.1002/elps.1150191113, 10.4049/jimmunol.173.11.6831, 10.1021/pr900956x, 10.1021/ac9801059, 10.1016/0014-5793(94)00547-8, 10.1016/j.jchromb.2008.05.006, 10.1093/glycob/10.3.231, 10.1016/s0021-9258(19)30077-8, 10.1111/j.1432-1033.1993.tb18200.x, 10.1016/0014-5793(95)00441-b, 10.1074/mcp.RA120.002295, 10.1271/bbb.80598, 10.1002/pmic.201300270, 10.1006/prep.2001.1501, 10.1046/j.1432-1327.2001.01985.x, 10.1007/s00216-014-8226-5, 10.1074/jbc.M504528200, 10.1093/oxfordjournals.jbchem.a133554, 10.1021/ac900231w, 10.1093/glycob/4.5.617, 10.1074/jbc.270.41.24116, 10.1016/j.chom.2020.08.004, 10.1006/abio.1995.1201, 10.1093/glycob/4.5.633, 10.1111/j.1432-1033.1992.tb17090.x, 10.1074/mcp.M112.024018, 10.1007/bf00731362, 10.1016/S0021-9258(17)44262-1, 10.1016/j.jaci.2014.02.025, 10.1159/000024447, 10.1074/jbc.M004298200, 10.1002/pmic.201400038, 10.1021/bi00217a006, 10.1042/bj2850275, 10.1111/j.1432-1033.1990.tb15281.x, 10.1371/journal.pgen.1003225, 10.1021/acs.jproteome.8b00796, 10.1021/bi00223a015, 10.1093/glycob/9.3.227, 10.1021/acs.jproteome.9b00753, 10.1093/glycob/10.3.251, 10.1006/abbi.1994.1216, 10.1016/s0021-9258(19)81354-6, 10.1111/j.1432-1033.1990.tb19332.x, 10.1101/853036, 10.1021/acs.analchem.8b01137, 10.1111/jth.14861, 10.1126/science.abb9983, 10.1681/ASN.2006040388, 10.1093/abbs/gmt110, 10.1111/j.1432-1033.1988.tb13966.x, 10.1021/ac402338u, 10.1006/abio.1994.1374]
H5N4S2	2	[1946;P17181, 1919;Q8NI99]	[10.1093/glycob/11.10.791, 10.1038/s41598-018-20331-2, 10.1080/07328309508005379, 10.1006/bbrc.2000.2224, 10.1042/bj2690821, 10.1021/acs.analchem.8b01051, 10.1002/jms.1190300415, 10.1093/glycob/8.11.1053, 10.1016/s0021-9258(18)50696-7, 10.1021/acs.jproteome.5b00756, 10.1093/glycob/cwaa101, 10.1093/oxfordjournals.jbchem.a124102, 10.1021/pr500238v, 10.1016/j.jprot.2014.02.005, 10.1006/bbrc.2001.5382, 10.1021/bi00241a008, 10.1016/s0167-4838(01)00264-3, 10.1016/s0021-9258(18)50383-5, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1016/s0021-9258(18)32366-4, 10.1002/elps.11501401205, 10.1038/s41592-021-01309-x, 10.1042/bj2830531, 10.18632/oncotarget.26005, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1016/j.carres.2014.01.018, 10.1006/abio.1995.1200, 10.1016/s0021-9258(18)82165-2, 10.1021/bi00239a013, 10.1093/glycob/11.7.523, 10.1111/j.1432-1033.1996.0076n.x, 10.1046/j.1538-7836.2003.00090.x, 10.1021/pr500506z, 10.1074/jbc.M307132200, 10.1042/bj3330749, 10.1093/glycob/7.1.67, 10.1111/j.1432-1033.1995.tb20647.x, 10.1016/s0021-9258(19)69961-8, 10.1016/0304-4165(83)90130-7, 10.1111/j.1432-1033.1990.tb15474.x, 10.1016/s0021-9258(18)34130-9, 10.7150/thno.65398, 10.1021/acs.jproteome.0c00702, 10.1016/j.jprot.2021.104148, 10.1016/j.isci.2021.102323, 10.1074/mcp.M114.039537, 10.1073/pnas.91.12.5602, 10.1093/oxfordjournals.jbchem.a133133, 10.1074/jbc.M102150200, 10.1111/j.1432-1033.1991.tb15702.x, 10.1021/pr400196s, 10.1042/bj2720533, 10.1111/j.1432-1033.1992.tb17362.x, 10.1093/glycob/10.9.901, 10.1016/0167-4838(94)90119-8, 10.1002/prca.201800061, 10.1021/pr4012393, 10.1016/j.talanta.2020.121495, 10.1021/pr500575r, 10.1093/oxfordjournals.jbchem.a124143, 10.1002/elps.1150191113, 10.1021/bi00163a032, 10.1021/pr900956x, 10.4049/jimmunol.173.11.6831, 10.1021/ac9801059, 10.1016/0014-5793(94)00547-8, 10.1016/j.jchromb.2008.05.006, 10.1093/glycob/10.3.231, 10.1007/bf01891990, 10.1016/s0021-9258(19)30077-8, 10.1093/glycob/1.4.393, 10.1111/j.1432-1033.1993.tb18200.x, 10.1016/0014-5793(95)00441-b, 10.1074/mcp.RA120.002295, 10.1271/bbb.80598, 10.1002/pmic.201300270, 10.1021/acs.analchem.0c01794, 10.1006/prep.2001.1501, 10.1021/bi00475a024, 10.1016/s0021-9258(18)34193-0, 10.1046/j.1432-1327.2001.01985.x, 10.1007/s00216-014-8226-5, 10.1074/jbc.M504528200, 10.1093/oxfordjournals.jbchem.a133554, 10.1021/ac900231w, 10.1093/glycob/4.5.617, 10.1093/oxfordjournals.jbchem.a022738, 10.1016/j.chom.2020.08.004, 10.1006/abio.1995.1201, 10.1021/bi971137d, 10.1093/glycob/4.5.633, 10.1111/j.1432-1033.1992.tb17090.x, 10.1074/mcp.M112.024018, 10.1016/j.jaci.2014.02.025, 10.1093/glycob/2.1.85, 10.1159/000024447, 10.1074/jbc.M004298200, 10.1002/pmic.201400038, 10.1016/s0003-2697(05)80010-7, 10.1021/bi00217a006, 10.1042/bj2850275, 10.1016/0304-4165(94)00191-y, 10.1111/j.1432-1033.1990.tb15281.x, 10.1371/journal.pgen.1003225, 10.1016/s0021-9258(17)30489-1, 10.1016/s0021-9258(19)85632-6, 10.1021/acs.jproteome.8b00796, 10.1021/bi00223a015, 10.1021/acs.jproteome.9b00753, 10.1111/j.1432-1033.1991.tb15719.x, 10.1111/j.1432-1033.1993.tb18434.x, 10.1093/glycob/10.3.251, 10.1016/s0021-9258(19)81354-6, 10.1111/j.1432-1033.1990.tb19332.x, 10.1111/j.1432-1033.1991.tb15901.x, 10.1093/oxfordjournals.jbchem.a133680, 10.1101/853036, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1681/ASN.2006040388, 10.1126/science.abb9983, 10.1093/abbs/gmt110, 10.1111/j.1432-1033.1988.tb13966.x, 10.1021/ac402338u, 10.1006/abio.1994.1374]
